SMILES,Genotoxicity
COC(Cl)=O,0
[Na+].[Na+].CN(CCO)C1=NC(NC2=CC=C(C=CC3=CC=C(NC4=NC(NC5=CC=CC=C5)=NC(=N4)N(C)CCO)C=C3S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)=NC(NC2=CC=CC=C2)=N1,0
CCN1CCN(CC2=CN=C(N)C=C2)CC1,1
[Na+].CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C2C=CC(=CC2=CC(=C1O)S([O-])(=O)=O)S([O-])(=O)=O,1
NC1=C(Br)C=CC=N1,1
BrC1=CN=C2C=CC=CC2=C1,0
FC(F)=C(F)OC(F)(F)OC(F)(F)F,0
CC1=CC(CC2=CC(C)=CC(C3CCCCC3)=C2O)=C(O)C(=C1)C1CCCCC1,0
CCCCC(CC)C(=O)O[Sn](CCCC)(CCCC)OC(=O)C(CC)CCCC,0
O=C1C2=CC=CC=C2C(=O)C2=C1C=CC=C2NC1=NC(=NC(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=CC=C2)=N1)C1=CC=CC=C1,0
CCCCCC,0
CCCCC(CC)COCCOCCOC(=O)C=C,0
FC(F)(F)OC(Cl)C(F)(Cl)Cl,0
OC1=C(C=CC=C1)[N+]([O-])=O,0
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,0
OC1=CC=CC=C1C=O,0
[Na+].[Na+].CC1=CC=C(C=C1S([O-])(=O)=O)S(=O)(=O)C1=CC(NC(=O)C(Br)=C)=CC=C1N=NC1=C(N)C=CC2=CC(=CC=C12)S([O-])(=O)=O,1
C1CN=C(N1)C1=CC=CC=C1.OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O,0
CC(=C)C1=CC=CC=C1,0
CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC,0
CC(C)CCN,0
CCOC(=O)C1CCCO1,0
CC=O,0
ClCC1=CC=C(CCl)C=C1,1
CS(O)(=O)=O.NC(=O)[C@@H]1C[C@@H]2C[C@@H]2N1,0
C(CC1=CC=CC=C1)OC1CCCCC1,0
N#CCCCCCCC#N,0
CCCCCCCCCCCCCl,0
CCC(CO)(CO)CO,0
CCC1=C(O)C(=O)C=CO1,0
[Ag+].[C-]#N,0
[S--].[Pb++],0
CCCCC(CC)CNS(=O)(=O)C1=CC=C(C=C1)N=NC1=C(O)N(CCCC)C(=O)C(C#N)=C1C,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COS(C)(=O)=O,1
[NH4+].[NH4+].[NH4+].[NH4+].[O--].[O--].[O--].[O--].[O--].[O--].[Cu++],0
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,0
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,0
CC(CO)(CO)CO,0
O=C1CCCC(=O)C1,0
CCCCOC(=O)CC,0
Cl.C[N+](C)=CCC(O)CC([O-])=N,0
CC=C=C,0
CC1=CC(=C(O)C(C)=C1CN1C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C1=O)C(C)(C)C,0
NC1=CC(=CC(N)=C1)C(O)=O,0
ClCCOP(=O)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl,0
CC1C2CC(CC1C=O)C2(C)C,0
COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)N1C=NNC1=O,0
CCC1=CC=CC2=C1NC=C2CCO,1
CC1CCOCC1,0
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O,0
ClC1=CC=C(Cl)C=C1,0
Cl.CON,0
Cl.Cl.CC(C)(N=NC(C)(C)C1=NCCN1)C1=NCCN1,0
CC1=CC=CO1,0
CCCCCCCCC(CCCCCC)C(=O)OCC(COC(=O)C(CCCCCC)CCCCCCCC)(COC(=O)C(CCCCCC)CCCCCCCC)COC(=O)C(CCCCCC)CCCCCCCC,0
Cl.Cl.NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(N)C=C1,1
OC1=C(Cl)C=C(Cl)C=C1,0
OC(=O)CSC1=NC2=CC=CC=C2S1,0
CCO[Si](CCl)(OCC)OCC,0
[Na+].[O-]S(=O)(=O)CCS(=O)(=O)C1=CC=C(C=C1)N1CCC(=N1)C1=CC=C(Cl)C=C1,0
C1CCC2OC2C1,1
FC(F)CCl,0
COC1=CC(=CC=C1O)C(O)=O,0
CCCC1CCC(CC1)C1CCC(CC1)\C=C\C,0
CC(CCCC(C)(C)O)C=C,0
OCC(O)CO.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)C=O,0
CCCCCCCC(=O)OCCOC1=CC=CC=C1,0
[Na+].[Co+3].CNS(=O)(=O)OC1=CC(\N=N\[C-](C(C)=O)C(=O)NC2=CC=CC=C2Cl)=C([O-])C=C1.CNS(=O)(=O)OC1=CC(\N=N\[C-](C(C)=O)C(=O)NC2=CC=CC=C2Cl)=C([O-])C=C1,0
OP(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
CCCCCCCCCCCCCCO,0
CCCCCCCCCCCCCCCCN(C)C,0
OCCOCCOCCOCCO,1
O=COCCOC=O,0
COC1=CC(=CC=C1N=NC(C(C)=O)C(=O)NC1=CC=CC=C1)C1=CC(OC)=C(C=C1)N=NC(C(C)=O)C(=O)NC1=CC=CC=C1,0
[S--].[Zn++],0
Cl.NCCCC[C@H](N)C(O)=O,0
CC[N+]([O-])=O,0
OC[C@H](O)[C@@H](O)[C@H](O)CO,0
C(CN1CCOCC1)OCCN1CCOCC1,0
Cl[W](Cl)(Cl)(Cl)(Cl)Cl,0
CC1(C)[C@H]2CC[C@]3(C2)[C@@]11O[C@@H]1CCC3(C)C,0
COC(=O)OC,0
CCC(C)N[Si](C)(NC(C)CC)NC(C)CC,0
O=C=NCC1=CC(=CC=C1)N1C(=O)N(C1=O)C1=CC=CC(CN=C=O)=C1,0
CC(C)(C)C1=NN(C(N)=C1N=NC1=NN=C(SCCSC2=NN=C(S2)N=NC2=C(N)N(N=C2C(C)(C)C)C2=CC(=CC(=C2)C(O)=O)C(O)=O)S1)C1=CC(=CC(=C1)C(O)=O)C(O)=O,0
CCO[Si](CCCNCCC[Si](OCC)(OCC)OCC)(OCC)OCC,0
CC(=O)OCCN(CCC#N)C1=CC=C(C=C1)N=NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,0
CC([O-])=O.NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=[NH2+])C=C1,0
[O--].[O--].[O--].[W+6],0
O1[Si](O[Si](O[Si](O[Si]1(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
[Mn++].[O-]P=O.[O-]P=O,0
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,0
[Na+].CC(C)C1=CC=C(C=C1)S([O-])(=O)=O,0
O=C1CCCCCCCCCC\C=C/CC1,0
