raw,genotoxicity
negative,negative
ambiguous,
positive,positive
other: to be completed when available,
not determined,
other: result not yet available,
other: The results obtained are considered not biologically relevant.,
other: on-going,
other: It was demonstrated that FA does not induce aneuploidy using the CBMN test with in situ hybridisation with a pan-centromeric probe of A549 cells or when studying aneuploidy in V79 cells in comparison with standard clastogens or aneugens.,
not specified,
other: not considered valid,
other: ambiguous; p=0.008 at 200 μg/mL,
other:,
